Job_ID,Arrival_Time,Due_Date,Weight,Num_Operation
0,5,30,0,4
1,10,21,0,1
2,14,27,1,1
3,23,49,1,4
4,28,56,3,6
5,34,62,2,5
6,39,58,3,2
7,43,65,0,7
8,46,71,3,4
9,50,72,3,5
10,51,72,1,4
11,56,74,2,4
12,59,82,2,2
13,64,94,0,5
14,70,88,3,4
15,70,88,1,2
16,75,102,2,7
17,79,98,0,1
18,80,95,2,3
19,83,107,2,7
20,89,110,3,1
21,92,103,2,1
22,94,118,0,7
23,104,132,2,4
24,105,125,2,1
25,108,129,3,2
26,110,134,0,4
27,116,148,3,6
28,118,144,3,4
29,126,140,2,1
30,135,151,1,1
31,138,162,3,7
32,145,178,0,6
33,148,153,0,2
34,150,186,3,5
35,155,179,2,3
36,158,186,1,4
37,163,191,2,6
38,165,182,0,5
39,171,208,0,5
40,173,197,1,2
41,175,197,0,7
42,180,204,2,2
43,183,209,0,6
44,188,204,2,4
45,192,213,0,2
46,197,221,2,2
47,200,223,0,5
48,207,231,2,6
49,213,243,3,5
50,218,255,0,7
51,225,259,0,6
52,228,244,1,2
53,236,258,3,2
54,243,255,1,3
55,248,269,3,3
56,248,255,3,2
57,253,268,2,4
58,260,269,1,2
59,266,292,2,7
60,268,288,0,2
61,271,303,0,6
62,272,291,2,2
63,273,300,2,3
64,279,303,2,5
65,283,312,3,7
66,284,304,3,4
67,286,306,2,2
68,294,320,0,6
69,295,309,3,2
70,304,320,1,4
71,308,324,2,5
72,311,320,2,2
73,314,339,2,5
74,320,344,3,5
75,323,333,3,3
76,327,351,0,4
77,330,352,0,1
78,332,356,1,3
79,334,367,2,5
80,338,367,3,5
81,342,363,2,6
82,348,381,1,7
83,352,382,2,5
84,357,382,3,5
85,362,380,3,6
86,363,382,3,2
87,366,394,3,7
88,369,409,1,6
89,376,392,3,4
90,383,416,1,7
91,386,413,1,5
92,389,410,1,6
93,393,417,2,6
94,399,433,1,6
95,405,423,2,6
96,410,440,2,6
97,411,420,2,1
98,417,430,1,4
99,421,452,2,7
