Operation_ID,Job_ID,Work_Load,Processing_Rate
0,0,4,[4.74795249 5.6083706  9.85065211 6.79771681 8.96422892 7.75303045]
1,0,3,[6.57868796 9.60545705 0.54865315 1.83009058 4.6702    ]
2,0,4,[6.76610476 0.79377911 3.66367521 9.59457521 4.83806329 5.73344331]
0,1,3,[9.8663787]
1,1,4,[5.82049849 0.50644611 6.9989888  2.86050022 1.75707257]
2,1,3,"[5.92248321 4.96649088 3.73275341 9.54536769 1.8668716  2.93342686
 6.82283551 7.52224221 8.92024753]"
3,1,2,[4.57622888]
4,1,3,[2.79869332 9.5288742  6.96730864 5.72205187 8.5795061  0.77196104]
5,1,2,"[9.64630026 7.75012023 4.94637416 1.96160352 2.79689574 8.82426966
 3.75483654 5.51510665 0.97044947 6.84125883]"
6,1,3,[6.60534614 8.83875952]
0,2,4,[6.95509564 4.63817586 0.55844633 9.74621543 8.88434739]
0,3,2,[3.97114962]
1,3,4,[0.55557328]
2,3,3,[8.82616086]
0,4,2,"[2.91751117 0.80194998 7.96701184 1.64421082 6.9443333  4.56771711
 9.67204595 8.63112939 5.8878184  3.59631552]"
1,4,3,"[0.56079229 8.67436932 9.61883632 5.71869326 1.77335765 2.55234534
 6.71556626]"
2,4,3,[9.80464767 2.63459806]
3,4,4,[3.73332257 1.53625708 7.70106221]
4,4,2,[6.80288307 4.53944562 7.93040936 3.7965392  9.65522068 8.76433777]
5,4,4,"[8.85403481 0.99546951 4.7409584  3.6182716  2.88134963 6.87051874
 7.99947594]"
0,5,4,[2.69785048 7.869342   5.82218951]
0,6,4,[1.61380683 7.558433   4.66615729 9.53334394]
1,6,3,[3.93708409]
2,6,3,"[2.95753242 8.93867015 4.9940479  6.65511935 5.84052396 3.94168262
 1.9038297  9.55440605]"
3,6,4,"[7.69068101 2.88064296 0.99605997 8.9542308  6.94486551 1.88614061
 3.53000016 5.9525222  4.6639892  9.6952559 ]"
0,7,4,[4.53137008 0.9218245  3.51061605 5.95120849]
1,7,3,[9.51419    4.55893008 8.5646399  2.76354285 7.77372122 3.58448301]
0,8,2,"[7.52646053 1.64315214 9.64646537 3.51433017 8.82707461 0.95060823
 4.99334515 5.70795355 2.89703397]"
1,8,4,"[8.54351533 6.54775333 2.648387   5.95157321 9.93657004 7.86200841
 4.72616158 3.94889264 1.61591586 0.72639719]"
2,8,4,[8.70661661 6.6444956  7.79415094 4.75000179 2.7822112  5.54447745]
3,8,4,[2.84997702 9.51186224 8.72133754 6.79961387 0.69227925]
4,8,4,[9.75202361]
0,9,3,[2.83909206 3.7525967  7.87443041 4.95773631]
1,9,2,"[9.89652959 7.93958391 5.95939109 6.53885219 2.75124752 0.54300586
 3.69793859 1.80402892 4.65271128 8.96252902]"
2,9,3,"[6.96428784 5.75363428 9.61806005 8.82762715 7.87091807 0.91866306
 3.55750825 2.55962294 1.55874069]"
3,9,3,"[6.97662255 5.9892237  7.79804948 9.9551511  3.60411939 8.7242437
 4.55526863 2.69171964 1.64536476 0.51284946]"
4,9,4,[4.91391659 3.86270093 2.70427922 9.93362458 7.51265384 0.72427911]
5,9,3,[7.60869807 6.5479855  5.91769201 9.81990966 1.71749563]
6,9,3,"[9.82437676 5.87068329 3.68529978 2.94000668 1.53247695 8.54156871
 4.8311769 ]"
0,10,2,"[9.50052034 8.75122113 7.57531923 0.78476885 2.61738792 4.87717837
 6.71459229 1.81694667]"
0,11,2,[7.62548437 0.84389292 1.64642521]
1,11,3,[3.64343592 4.90886405 2.81489328 6.76987256]
0,12,3,[5.94788907 3.98074208 4.92527324 7.93683012]
1,12,4,[3.71402815 1.87740437 0.6777568 ]
2,12,3,"[4.76912355 1.77913217 3.89642148 0.97078152 2.61410541 7.7488321
 6.53962319]"
3,12,4,"[1.71794598 7.84846738 0.5209359  8.75511625 9.58179721 3.56237149
 6.57384636 4.53205364 5.80062224 2.95992782]"
0,13,4,[0.61777482 3.92054028 4.73548152 1.99907331]
1,13,3,"[3.65422416 9.84359699 8.60425035 5.82197591 1.73646311 7.53461775
 2.86437821 6.63709648 4.85572578 0.88510891]"
2,13,2,[3.98931873]
3,13,2,"[7.83360618 4.62558688 9.96784156 3.85938507 2.55536675 1.65624217
 0.50788294 5.99277672 8.9812456 ]"
0,14,2,"[1.65085867 9.79308467 6.88557409 3.87303102 0.73448746 7.54828917
 5.93055847 8.62412407 2.95419447]"
1,14,2,[4.91865309]
2,14,4,[2.61311497 8.80313476 4.8757051  6.83337453 0.51968231]
3,14,4,"[0.64129658 5.77525674 7.56927552 3.72577342 6.75893066 8.77861813
 9.73685706 1.72607215 4.70886442 2.58460598]"
4,14,4,[7.94465407 1.83831298 2.67748335 5.7678397  9.96274277]
5,14,2,[8.64947647 0.81076585 1.63720519 5.71877349 7.8716288  4.99470048]
0,15,4,[4.52742751 8.81133591 5.95415007]
1,15,2,[1.81217673 0.99736831 8.81852403 4.50007198 6.81908691]
2,15,4,"[2.52437011 7.62014966 1.64700724 8.67229842 0.9228088  6.80822321
 3.84352004 9.68352056 4.8186193  5.88787365]"
3,15,4,[5.92295805 3.88134938]
4,15,2,[0.54912238 6.81065379 8.55153652 1.95352711 7.56786174]
5,15,3,"[9.85486461 5.98417588 4.65918741 0.88750252 6.68253523 1.61381391
 3.84340631 7.77036062]"
6,15,3,"[9.69081165 1.80011077 0.97732454 5.8469537  3.63215968 2.92521906
 8.91747283 6.91258667]"
0,16,3,[9.80267633 1.9146649  0.98507109]
1,16,3,"[0.84542094 2.79028385 8.6611677  7.92293951 5.7664731  4.62337728
 9.63688329 1.50947598]"
2,16,3,[6.65246535 2.54866075 1.57750262 0.95323569 4.71924862]
3,16,4,[3.51144869 4.52001422 5.90577718 1.94718486 0.52924926]
4,16,2,[4.82145211 5.71442378]
5,16,4,[6.92107119 9.51641391 5.9369949  2.53676558]
6,16,4,"[3.77460806 0.60175128 5.97281566 8.8036593  9.96112076 7.57108659
 6.72981595 1.6741058 ]"
0,17,2,[9.90643254 7.85531269 4.71034354 2.57019862 1.98708577 0.60780439]
1,17,3,[1.98181577 8.85306859 4.55720714 2.70742831 0.59976223]
2,17,2,[0.55600491 9.75033947 3.56647179 1.8506508  2.64395284 5.94447347]
3,17,3,[6.79511505 5.73269856 8.55619928 7.60821015]
4,17,3,[1.67292974 8.92296538 3.97218389 2.94005155 6.73777841 5.65303427]
5,17,3,[4.5659219  3.98051845]
0,18,4,"[7.99642083 0.62780822 5.61574306 4.90663148 8.860697   2.61195284
 3.82657886 1.78824335 6.81606734]"
1,18,2,[5.51807042 0.84894438 6.57356043]
2,18,2,[9.5541169  4.59719376 5.97706388]
3,18,3,"[4.98298364 2.79232159 3.8771664  1.95821861 0.52578536 9.50091636
 7.77128443 5.75551155 8.55128806 6.83345907]"
4,18,3,[2.69885302]
0,19,4,"[0.95224891 3.77960214 4.68934194 1.64638664 6.50168908 8.66954824
 5.95445752 2.64650751 7.55409791 9.73572599]"
1,19,3,"[2.58793919 7.86599076 1.68011867 9.75235575 8.62328778 6.51295629
 4.76414287 3.80594631]"
2,19,3,"[5.56433344 4.82959704 2.87705826 7.51823205 8.53763386 0.68821562
 1.81761071 3.64226459]"
3,19,3,"[8.82269731 2.63236304 5.82137801 6.86978005 3.66346957 7.65788528
 9.55895679 1.70231314]"
4,19,4,"[5.77662936 6.84219811 9.94856363 7.99712293 8.8079062  2.63616619
 1.87003297]"
0,20,2,[9.60778968]
1,20,2,[8.80745223 7.63429057 0.68039073 1.76325939 5.70984897]
2,20,2,[1.50684076 8.68924916 9.56422997]
